,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Platform_grouped,Publisher_grouped
19,20.0,Brain Age: Train Your Brain in Minutes a Day,DS,2005-01-01,Misc,Nintendo,4.75,9.26,4.16,2.05,20.22,nintendo_handheld,Nintendo
20,21.0,Pokemon Diamond/Pokemon Pearl,DS,2006-01-01,Role-Playing,Nintendo,6.42,4.52,6.04,1.37,18.36,nintendo_handheld,Nintendo
21,22.0,Super Mario Land,GB,1989-01-01,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14,nintendo_handheld,Nintendo
22,23.0,Super Mario Bros. 3,NES,1988-01-01,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,nintendo_console,Nintendo
23,24.0,Grand Theft Auto V,X360,2013-01-01,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38,xbox,other
24,25.0,Grand Theft Auto: Vice City,PS2,2002-01-01,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,playstation,other
25,26.0,Pokemon Ruby/Pokemon Sapphire,GBA,2002-01-01,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85,nintendo_handheld,Nintendo
26,27.0,Pokemon Black/Pokemon White,DS,2010-01-01,Role-Playing,Nintendo,5.57,3.28,5.65,0.82,15.32,nintendo_handheld,Nintendo
27,28.0,Brain Age 2: More Training in Minutes a Day,DS,2005-01-01,Puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3,nintendo_handheld,Nintendo
28,29.0,Gran Turismo 3: A-Spec,PS2,2001-01-01,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,playstation,Sony Computer Entertainment
29,30.0,Call of Duty: Modern Warfare 3,X360,2011-01-01,Shooter,Activision,9.03,4.28,0.13,1.32,14.76,xbox,Activision
30,31.0,Pokémon Yellow: Special Pikachu Edition,GB,1998-01-01,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64,nintendo_handheld,Nintendo
31,32.0,Call of Duty: Black Ops,X360,2010-01-01,Shooter,Activision,9.67,3.73,0.11,1.13,14.64,xbox,Activision
32,33.0,Pokemon X/Pokemon Y,3DS,2013-01-01,Role-Playing,Nintendo,5.17,4.05,4.34,0.79,14.35,nintendo_handheld,Nintendo
33,34.0,Call of Duty: Black Ops 3,PS4,2015-01-01,Shooter,Activision,5.77,5.81,0.35,2.31,14.24,playstation,Activision
34,35.0,Call of Duty: Black Ops II,PS3,2012-01-01,Shooter,Activision,4.99,5.88,0.65,2.52,14.03,playstation,Activision
35,36.0,Call of Duty: Black Ops II,X360,2012-01-01,Shooter,Activision,8.25,4.3,0.07,1.12,13.73,xbox,Activision
36,37.0,Call of Duty: Modern Warfare 2,X360,2009-01-01,Shooter,Activision,8.52,3.63,0.08,1.29,13.51,xbox,Activision
37,38.0,Call of Duty: Modern Warfare 3,PS3,2011-01-01,Shooter,Activision,5.54,5.82,0.49,1.62,13.46,playstation,Activision
38,39.0,Grand Theft Auto III,PS2,2001-01-01,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,playstation,other
39,40.0,Super Smash Bros. Brawl,Wii,2008-01-01,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04,nintendo_console,Nintendo
40,41.0,Call of Duty: Black Ops,PS3,2010-01-01,Shooter,Activision,5.98,4.44,0.48,1.83,12.73,playstation,Activision
41,42.0,Animal Crossing: Wild World,DS,2005-01-01,Simulation,Nintendo,2.55,3.52,5.33,0.88,12.27,nintendo_handheld,Nintendo
42,43.0,Mario Kart 7,3DS,2011-01-01,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21,nintendo_handheld,Nintendo
43,44.0,Halo 3,X360,2007-01-01,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14,xbox,other
44,45.0,Grand Theft Auto V,PS4,2014-01-01,Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98,playstation,other
45,46.0,Pokemon HeartGold/Pokemon SoulSilver,DS,2009-01-01,Action,Nintendo,4.4,2.77,3.96,0.77,11.9,nintendo_handheld,Nintendo
46,47.0,Super Mario 64,N64,1996-01-01,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,nintendo_console,Nintendo
47,48.0,Gran Turismo 4,PS2,2004-01-01,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,playstation,Sony Computer Entertainment
48,49.0,Super Mario Galaxy,Wii,2007-01-01,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52,nintendo_console,Nintendo
49,50.0,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014-01-01,Role-Playing,Nintendo,4.23,3.37,3.08,0.65,11.33,nintendo_handheld,Nintendo
50,51.0,Super Mario Land 2: 6 Golden Coins,GB,1992-01-01,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18,nintendo_handheld,Nintendo
51,52.0,Grand Theft Auto IV,X360,2008-01-01,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02,xbox,other
52,53.0,Gran Turismo,PS,1997-01-01,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,playstation,Sony Computer Entertainment
53,54.0,Super Mario 3D Land,3DS,2011-01-01,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79,nintendo_handheld,Nintendo
54,55.0,Gran Turismo 5,PS3,2010-01-01,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77,playstation,Sony Computer Entertainment
55,56.0,Call of Duty: Modern Warfare 2,PS3,2009-01-01,Shooter,Activision,4.99,3.69,0.38,1.63,10.69,playstation,Activision
56,57.0,Grand Theft Auto IV,PS3,2008-01-01,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57,playstation,other
57,58.0,Super Mario All-Stars,SNES,1993-01-01,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55,nintendo_console,Nintendo
58,59.0,Pokemon FireRed/Pokemon LeafGreen,GBA,2004-01-01,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,nintendo_handheld,Nintendo
59,60.0,Super Mario 64,DS,2004-01-01,Platform,Nintendo,5.08,3.11,1.25,0.98,10.42,nintendo_handheld,Nintendo
60,61.0,Just Dance 3,Wii,2011-01-01,Misc,Ubisoft,6.05,3.15,0.0,1.07,10.26,nintendo_console,Ubisoft
61,62.0,Call of Duty: Ghosts,X360,2013-01-01,Shooter,Activision,6.72,2.63,0.04,0.82,10.21,xbox,Activision
62,63.0,Halo: Reach,X360,2010-01-01,Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88,xbox,other
63,64.0,Mario Kart 64,N64,1996-01-01,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,nintendo_console,Nintendo
64,65.0,New Super Mario Bros. 2,3DS,2012-01-01,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82,nintendo_handheld,Nintendo
65,66.0,Halo 4,X360,2012-01-01,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76,xbox,other
66,67.0,Final Fantasy VII,PS,1997-01-01,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,playstation,Sony Computer Entertainment
67,68.0,Call of Duty: Ghosts,PS3,2013-01-01,Shooter,Activision,4.09,3.73,0.38,1.38,9.59,playstation,Activision
68,69.0,Just Dance 2,Wii,2010-01-01,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52,nintendo_console,Ubisoft
69,70.0,Gran Turismo 2,PS,1999-01-01,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,playstation,Sony Computer Entertainment
70,71.0,Call of Duty 4: Modern Warfare,X360,2007-01-01,Shooter,Activision,5.91,2.38,0.13,0.9,9.32,xbox,Activision
71,72.0,Donkey Kong Country,SNES,1994-01-01,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3,nintendo_console,Nintendo
72,73.0,Minecraft,X360,2013-01-01,Misc,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2,xbox,other
73,74.0,Animal Crossing: New Leaf,3DS,2012-01-01,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09,nintendo_handheld,Nintendo
74,75.0,Mario Party DS,DS,2007-01-01,Misc,Nintendo,4.46,1.88,1.98,0.7,9.02,nintendo_handheld,Nintendo
75,76.0,The Elder Scrolls V: Skyrim,X360,2011-01-01,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84,xbox,other
76,77.0,Super Mario Kart,SNES,1992-01-01,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,nintendo_console,Nintendo
77,78.0,FIFA 16,PS4,2015-01-01,Sports,Electronic Arts,1.11,6.06,0.06,1.26,8.49,playstation,Electronic Arts
78,79.0,Wii Party,Wii,2010-01-01,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49,nintendo_console,Nintendo
79,80.0,Halo 2,XB,2004-01-01,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,xbox,other
80,81.0,Mario Party 8,Wii,2007-01-01,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42,nintendo_console,Nintendo
81,82.0,Pokemon Black 2/Pokemon White 2,DS,2012-01-01,Role-Playing,Nintendo,2.91,1.86,3.14,0.43,8.33,nintendo_handheld,Nintendo
82,83.0,FIFA Soccer 13,PS3,2012-01-01,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24,playstation,Electronic Arts
83,84.0,The Sims 3,PC,2009-01-01,Simulation,Electronic Arts,0.98,6.42,0.0,0.71,8.11,,Electronic Arts
84,85.0,GoldenEye 007,N64,1997-01-01,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,nintendo_console,Nintendo
85,86.0,Mario & Sonic at the Olympic Games,Wii,2007-01-01,Sports,Sega,2.58,3.9,0.66,0.91,8.06,nintendo_console,Sega
86,87.0,Final Fantasy X,PS2,2001-01-01,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,playstation,Sony Computer Entertainment
87,88.0,Final Fantasy VIII,PS,1999-01-01,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,playstation,other
88,89.0,Pokémon Platinum Version,DS,2008-01-01,Role-Playing,Nintendo,2.82,1.78,2.69,0.55,7.84,nintendo_handheld,Nintendo
89,90.0,Pac-Man,2600,1982-01-01,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81,atari,other
90,91.0,Grand Theft Auto: Liberty City Stories,PSP,2005-01-01,Action,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72,playstation,other
91,92.0,Super Mario Galaxy 2,Wii,2010-01-01,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69,nintendo_console,Nintendo
92,93.0,Star Wars Battlefront (2015),PS4,2015-01-01,Shooter,Electronic Arts,2.93,3.29,0.22,1.23,7.67,playstation,Electronic Arts
93,94.0,Call of Duty: Advanced Warfare,PS4,2014-01-01,Shooter,Activision,2.8,3.3,0.14,1.37,7.6,playstation,Activision
94,95.0,The Legend of Zelda: Ocarina of Time,N64,1998-01-01,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,nintendo_console,Nintendo
95,96.0,Crash Bandicoot 2: Cortex Strikes Back,PS,1997-01-01,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,playstation,Sony Computer Entertainment
96,97.0,Super Mario Bros. 2,NES,1988-01-01,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,nintendo_console,Nintendo
97,98.0,Super Smash Bros. for Wii U and 3DS,3DS,2014-01-01,Fighting,Nintendo,3.24,1.35,2.42,0.43,7.45,nintendo_handheld,Nintendo
98,99.0,Call of Duty: World at War,X360,2008-01-01,Shooter,Activision,4.79,1.9,0.0,0.69,7.37,xbox,Activision
99,100.0,Battlefield 3,X360,2011-01-01,Shooter,Electronic Arts,4.46,2.13,0.06,0.69,7.34,xbox,Electronic Arts
100,101.0,The Legend of Zelda: Twilight Princess,Wii,2006-01-01,Action,Nintendo,3.83,2.19,0.6,0.7,7.31,nintendo_console,Nintendo
101,102.0,Call of Duty: Black Ops 3,XOne,2015-01-01,Shooter,Activision,4.52,2.09,0.01,0.67,7.3,xbox,Activision
102,103.0,Just Dance,Wii,2009-01-01,Misc,Ubisoft,3.51,3.03,0.0,0.73,7.27,nintendo_console,Ubisoft
103,104.0,Battlefield 3,PS3,2011-01-01,Shooter,Electronic Arts,2.85,2.93,0.35,1.1,7.23,playstation,Electronic Arts
104,105.0,Need for Speed Underground,PS2,2003-01-01,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,playstation,Electronic Arts
105,106.0,Tekken 3,PS,1998-01-01,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,playstation,Sony Computer Entertainment
106,107.0,Crash Bandicoot 3: Warped,PS,1998-01-01,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,playstation,Sony Computer Entertainment
107,108.0,Super Smash Bros. Melee,GC,2001-01-01,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,nintendo_console,Nintendo
108,109.0,Mario Kart 8,WiiU,2014-01-01,Racing,Nintendo,3.13,2.07,1.27,0.49,6.96,nintendo_handheld,Nintendo
109,110.0,Fallout 4,PS4,2015-01-01,Role-Playing,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96,playstation,other
110,111.0,Mario Kart: Double Dash!!,GC,2003-01-01,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,nintendo_console,Nintendo
111,112.0,Just Dance 4,Wii,2012-01-01,Misc,Ubisoft,4.14,2.21,0.0,0.56,6.91,nintendo_console,Ubisoft
112,113.0,FIFA 14,PS3,2013-01-01,Sports,Electronic Arts,0.78,4.32,0.07,1.73,6.9,playstation,Electronic Arts
113,114.0,Need for Speed Underground 2,PS2,2004-01-01,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,playstation,Electronic Arts
114,115.0,Medal of Honor: Frontline,PS2,2002-01-01,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,playstation,Electronic Arts
115,116.0,Uncharted 3: Drake's Deception,PS3,2011-01-01,Action,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.83,playstation,Sony Computer Entertainment
116,117.0,Crash Bandicoot,PS,1996-01-01,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,playstation,Sony Computer Entertainment
117,118.0,Zumba Fitness,Wii,2010-01-01,Sports,505 Games,3.5,2.64,0.0,0.67,6.81,nintendo_console,other
118,119.0,Gears of War 2,X360,2008-01-01,Shooter,Microsoft Game Studios,4.15,1.92,0.06,0.64,6.76,xbox,other
119,120.0,Uncharted 2: Among Thieves,PS3,2009-01-01,Action,Sony Computer Entertainment,3.27,2.25,0.21,1.0,6.73,playstation,Sony Computer Entertainment
120,121.0,Call of Duty 4: Modern Warfare,PS3,2007-01-01,Shooter,Activision,3.1,2.3,0.28,1.04,6.72,playstation,Activision
121,122.0,FIFA 12,PS3,2011-01-01,Sports,Electronic Arts,0.84,4.32,0.11,1.42,6.69,playstation,Electronic Arts
122,123.0,Big Brain Academy,DS,2005-01-01,Misc,Nintendo,1.67,2.78,1.6,0.62,6.67,nintendo_handheld,Nintendo
123,124.0,Red Dead Redemption,PS3,2010-01-01,Action,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6,playstation,other
124,125.0,FIFA 15,PS4,2014-01-01,Sports,Electronic Arts,0.79,4.29,0.05,1.47,6.59,playstation,Electronic Arts
125,126.0,Donkey Kong Country Returns,Wii,2010-01-01,Platform,Nintendo,3.25,1.84,1.03,0.47,6.59,nintendo_console,Nintendo
126,127.0,The Elder Scrolls V: Skyrim,PS3,2011-01-01,Role-Playing,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56,playstation,other
127,128.0,The Legend of Zelda,NES,1986-01-01,Action,Nintendo,3.74,0.93,1.69,0.14,6.51,nintendo_console,Nintendo
128,129.0,Assassin's Creed III,PS3,2012-01-01,Action,Ubisoft,2.64,2.56,0.16,1.14,6.5,playstation,Ubisoft
129,130.0,Halo: Combat Evolved,XB,2001-01-01,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,xbox,other
130,131.0,Pokémon Emerald Version,GBA,2004-01-01,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,nintendo_handheld,Nintendo
131,132.0,Kingdom Hearts,PS2,2002-01-01,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,playstation,Sony Computer Entertainment
132,133.0,Pokémon Crystal Version,GB,2000-01-01,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39,nintendo_handheld,Nintendo
133,134.0,Halo 3: ODST,X360,2009-01-01,Shooter,Microsoft Game Studios,4.34,1.35,0.06,0.61,6.36,xbox,other
134,135.0,Red Dead Redemption,X360,2010-01-01,Action,Take-Two Interactive,3.7,1.97,0.09,0.57,6.34,xbox,other
135,136.0,Super Mario Sunshine,GC,2002-01-01,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,nintendo_console,Nintendo
136,137.0,Street Fighter II: The World Warrior,SNES,1992-01-01,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3,nintendo_console,other
137,138.0,World of Warcraft,PC,2004-01-01,Role-Playing,Activision,0.07,6.21,0.0,0.0,6.28,,Activision
138,139.0,Driver,PS,1999-01-01,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,playstation,other
139,140.0,Kinect Sports,X360,2010-01-01,Sports,Microsoft Game Studios,3.92,1.78,0.03,0.51,6.24,xbox,other
140,141.0,Gears of War 3,X360,2011-01-01,Shooter,Microsoft Game Studios,4.05,1.62,0.07,0.49,6.24,xbox,other
141,142.0,Gears of War,X360,2006-01-01,Shooter,Microsoft Game Studios,3.54,1.9,0.07,0.6,6.11,xbox,other
142,143.0,Metal Gear Solid 2: Sons of Liberty,PS2,2001-01-01,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,playstation,Konami Digital Entertainment
143,144.0,Sonic the Hedgehog 2,GEN,1992-01-01,Platform,Sega,4.47,1.2,0.16,0.19,6.03,sega,Sega
144,145.0,Metal Gear Solid 4: Guns of the Patriots,PS3,2008-01-01,Action,Konami Digital Entertainment,2.63,1.74,0.83,0.83,6.03,playstation,Konami Digital Entertainment
145,146.0,Metal Gear Solid,PS,1998-01-01,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,playstation,Konami Digital Entertainment
146,147.0,The Last of Us,PS3,2013-01-01,Action,Sony Computer Entertainment Europe,2.41,2.28,0.28,1.01,5.99,playstation,other
147,148.0,Final Fantasy XII,PS2,2006-01-01,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,5.95,playstation,other
148,149.0,LittleBigPlanet,PS3,2008-01-01,Platform,Sony Computer Entertainment,2.8,2.05,0.17,0.9,5.92,playstation,Sony Computer Entertainment
149,150.0,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009-01-01,Role-Playing,Nintendo,0.66,0.69,4.35,0.15,5.84,nintendo_handheld,Nintendo
150,151.0,LEGO Star Wars: The Complete Saga,Wii,2007-01-01,Action,LucasArts,3.66,1.63,0.0,0.53,5.83,nintendo_console,other
151,152.0,Resident Evil 2,PS,1998-01-01,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,playstation,other
152,153.0,Tekken 2,PS,1996-01-01,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,playstation,Sony Computer Entertainment
153,154.0,Cooking Mama,DS,2006-01-01,Simulation,505 Games,3.13,1.94,0.07,0.58,5.72,nintendo_handheld,other
154,155.0,Destiny,PS4,2014-01-01,Shooter,Activision,2.49,2.05,0.16,0.96,5.65,playstation,Activision
155,156.0,Tetris,NES,1988-01-01,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58,nintendo_console,Nintendo
156,157.0,Assassin's Creed II,PS3,2009-01-01,Action,Ubisoft,2.54,1.95,0.21,0.87,5.57,playstation,Ubisoft
157,158.0,Super Smash Bros.,N64,1999-01-01,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55,nintendo_console,Nintendo
158,159.0,Assassin's Creed,X360,2007-01-01,Adventure,Ubisoft,3.28,1.65,0.07,0.55,5.55,xbox,Ubisoft
159,160.0,Batman: Arkham City,PS3,2011-01-01,Action,Warner Bros. Interactive Entertainment,2.7,1.91,0.11,0.8,5.53,playstation,other
160,161.0,Forza Motorsport 3,X360,2009-01-01,Racing,Microsoft Game Studios,2.99,1.92,0.1,0.51,5.51,xbox,other
161,162.0,Monster Hunter Freedom Unite,PSP,2008-01-01,Role-Playing,Capcom,0.47,0.57,4.13,0.34,5.5,playstation,other
162,163.0,Super Mario Advance,GBA,2001-01-01,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,nintendo_handheld,Nintendo
163,164.0,Mario Kart: Super Circuit,GBA,2001-01-01,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47,nintendo_handheld,Nintendo
164,165.0,Super Mario World,GBA,2001-01-01,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46,nintendo_handheld,Nintendo
165,166.0,Pokemon Stadium,N64,1999-01-01,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45,nintendo_console,Nintendo
166,167.0,Call of Duty: World at War,PS3,2008-01-01,Shooter,Activision,2.72,1.87,0.0,0.84,5.43,playstation,Activision
167,168.0,Crash Bandicoot: The Wrath of Cortex,PS2,2001-01-01,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42,playstation,other
168,169.0,Minecraft,PS3,2014-01-01,Misc,Sony Computer Entertainment,1.97,2.51,0.0,0.94,5.42,playstation,Sony Computer Entertainment
169,170.0,Final Fantasy XIII,PS3,2009-01-01,Role-Playing,Square Enix,1.74,1.24,1.87,0.52,5.36,playstation,other
170,171.0,Dr. Mario,GB,1989-01-01,Puzzle,Nintendo,2.18,0.96,2.0,0.2,5.34,nintendo_handheld,Nintendo
171,172.0,Pokemon Pinball,GB,1999-01-01,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31,nintendo_handheld,Nintendo
172,173.0,Assassin's Creed III,X360,2012-01-01,Action,Ubisoft,3.13,1.71,0.03,0.44,5.3,xbox,Ubisoft
173,174.0,Final Fantasy IX,PS,2000-01-01,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,playstation,other
174,175.0,Final Fantasy X-2,PS2,2003-01-01,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29,playstation,Electronic Arts
175,176.0,Donkey Kong 64,N64,1999-01-01,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27,nintendo_console,Nintendo
176,177.0,Assassin's Creed II,X360,2009-01-01,Action,Ubisoft,3.1,1.56,0.08,0.51,5.27,xbox,Ubisoft
177,178.0,Professor Layton and the Curious Village,DS,2007-01-01,Puzzle,Nintendo,1.22,2.48,1.03,0.52,5.26,nintendo_handheld,Nintendo
178,179.0,Tomb Raider II,PS,1997-01-01,Action,Eidos Interactive,2.3,2.46,0.2,0.28,5.24,playstation,other
179,180.0,Madden NFL 2004,PS2,,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23,playstation,Electronic Arts
180,181.0,Dragon Quest VIII: Journey of the Cursed King,PS2,2004-01-01,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21,playstation,other
181,182.0,Diablo III,PC,2012-01-01,Role-Playing,Activision,2.43,2.15,0.0,0.62,5.2,,Activision
182,183.0,Super Mario Bros. 3,GBA,2003-01-01,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2,nintendo_handheld,Nintendo
183,184.0,New Super Mario Bros. U,WiiU,2012-01-01,Platform,Nintendo,2.32,1.3,1.27,0.31,5.19,nintendo_handheld,Nintendo
184,185.0,Super Mario Land 3: Wario Land,GB,1994-01-01,Platform,Nintendo,2.49,0.98,1.57,0.15,5.19,nintendo_handheld,Nintendo
185,186.0,FIFA Soccer 13,X360,2012-01-01,Action,Electronic Arts,1.08,3.48,0.03,0.58,5.18,xbox,Electronic Arts
186,187.0,The Legend of Zelda: Phantom Hourglass,DS,2007-01-01,Action,Nintendo,1.9,1.83,0.95,0.49,5.17,nintendo_handheld,Nintendo
187,188.0,Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995-01-01,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15,nintendo_console,Nintendo
188,189.0,Tomodachi Life,3DS,2013-01-01,Simulation,Nintendo,0.96,2.02,1.89,0.28,5.15,nintendo_handheld,Nintendo
189,190.0,Mario & Sonic at the Olympic Games,DS,2008-01-01,Sports,Sega,1.64,2.48,0.44,0.58,5.14,nintendo_handheld,Sega
190,191.0,Medal of Honor: Rising Sun,PS2,2003-01-01,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13,playstation,Electronic Arts
191,192.0,Kirby's Dream Land,GB,1992-01-01,Platform,Nintendo,2.71,0.61,1.7,0.11,5.13,nintendo_handheld,Nintendo
